Plot,BigSurPlot,SiteID,OriginalSampleYear,Forest.Type,,,,,,,,,,,BurnSurvey,Basin,Chalk,,BARCseverity,CBI.mean,CBI.Int,CBI.Big,,,,,2009plot,2010plot,,,,,,,,,,,,,,,,,ownership,,,,,owner,own_category,,GPS.Device,Zone,Easting,Northing,Error.GPS,Averaged.points.GPS,Elevation,TMI,Slope,Plot.Aspect,Overall.Aspect,RoadLocationCategory,RoadUse,Landscape.Location,PlotNotes,Landuse.history,,,,,,,,,,Pram.0607,Pnem.0607,Ppseudo.0607,neg.isolation.0607,Pram2009,Psp2009,neg.isolation.09,samp.notes09,PCR.2009,isol.PCR.09,transect.09,Pram2010,Pnem2010,Ppseudo2010,,neg.isolation.10,PCRnotes10,PCR.10,isol.PCR.10,transect.10,Pram2011,Pnem2011,Ppseudo2011,,neg.isolation.11,Pram2013,Pnem2013,Ppseudo2013,,neg.isolation.13,,,,,,,,,,,,,,,,
246,BS246,BSPRT,2006,1,,1,,1,1,1,0,,,,0,1,0,0,1,N/A,N/A,N/A,2,2,4,"1977,1999, 2008, 2016",1,,,,,,,,,,1,,,,,,,,1,,yes,no,Pine Ridge Trail; Sykes,USFS,1,"USFS. Pine Ridge Trail; Continue on PRT up out of Sykes Camp. Once trail levels and you get to opening where you can see confluence below, head downhill off trail, hiking under woodland towards narrow SESE draw",UCD Trimble,10,618837.89,4012536.76,4.0,yes,518,11.38827705,32,162,162,2,1,upper-slope,Many herbs could be dead this late in season. Moved plot because of accessibility.  Large rock to NE of center.,,,,,,neg '09,,1,,,,,,none,,,none,,none,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,BS247,BSPRT,2006,2,,1,,1,1,1,0,,1,1,0,1,0,0,1,N/A,N/A,N/A,2,3,5,"1916,1977,1999, 2008, 2016",1,1,,1,,1,1,,,1,,,1,0,0,1,0,0,1,yes,yes,no,Pine Ridge Trail; Redwood Camp,USFS,1,"USFS. Pine Ridge Trail; to Redwood Creek Camp. From sign at camp, head up drainage (do not cross creek) into the redwoods.",UCD Trimble,10,619407.83,4013173.58,4.3,yes,570,12.78545761,26,104,104,1,1,lower-slope,Plot adjacent to mixed evergreen habitat. A lot of dead ARME seedlings in plot. Small spring in plot- a lot of SESE seedlings appear to be coming from here. Many look like separate individuals. No symptoms on bays or Lide in area. Entire canyon looks pretty clean.,Huge Fire scars on SESE,,,,,-,1,1,1,1,,,,none,,,1,,1,1,,,,,,1,,,,,,,,,,,,,,1,4,,,,,,,,,,,,,,,
248,BS248,BSPRT,2006,1,,1,,1,1,0,1,,,,0,1,0,0,2,N/A,N/A,N/A,2,2,4,"1977,1999, 2008, 2016",,,,,,,,,,,,,0,0,,,,,1,,yes,no,Pine Ridge Trail; Redwood Camp,USFS,1,USFS. Pine Ridge Trail; Towards Cienega Camp from junction of PineRidgeTrail and BigSurTrail. Very grassy open woodland on uphill side of trail before trail steepens/switchbacks down to Cienega camp.,Bart,10,620448,4012349,5,,637,7.223963261,28,44,44,1,1,upper-slope,Rocky soil. Many plants are dead at this point in season. Pretty good sized gap on the E. side of plot. Cliff on SW side of plot. Chapparal near on all sides. Very patchy woodland.,Oaks appear to be recovering form fire.,,,,,X,,1,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,BS249,BSPRT,2006,2,,1,,1,1,1,1,1,,,0,1,0,0,2,N/A,N/A,N/A,2,2,4,"1977,1999, 2008, 2016",1,,,,,,,,,,,"Very far out there, Cienega",1,1,,,,,1,yes,yes,no,Big Sur Trail,USFS,1,"USFS. Pine Ridge Trail; At Cienega Camp (between Rainbow and Redwood Camp on the Big Sur Trail (about 5 miles from Sykes)). As head into Cienaga camp from Redwood Camp you cross the creek and head up to the top of the ridge. Head right/south and back down. the trail here is very overgrown but head down through the open grassy areas and into ceanothus and finally ending in redwood habitat. the Trail will cross a stream, just past the stream crossing is Cienega Camp.  From the stream crossing go ~~100m N and ~~40m E from here. Plot has a small creek running along edge (actually in plot) on NW side. Plot also drops off on SW side (downhill side) below two large, emergent SESE.",UCD Trimble,10,620983.89,4012365.09,6.1,yes,580,6.220721722,30,282,240,1,1,mid-slope,"Area is pretty ugly due to somewhat recent, HOT fire. Crown fires in many of the emergent SESE resulting in either death or MAJOR epicormic sprouting. Thick regeneration of ceonothus and SESE re-sprouts. Extremely dense understory with lots of downed debris and large downed SESE. Creek running (with water) at NW side of plot. Many other trees burned/killed resulting in Lide and Umca stump clumps. Much of the CWD not making 20c. Disease appears on Lide and Umca but not so sure about the symptoms.Many of the distances are estimated due to difficulty in getting a straight line because of the drop-offs in the plots. Also some azimuths estimated b/c could not see the tree from center.  And, some of the smaller dbh's s in clumps and shrub dbh's are estimated. Plot is near edge of the chapparal. West cover reading was below understory Umca.",See plot notes for info on past fires.,1,2006,,,11,2,2,,,1,,,0,,,1,,1,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,BS251,BSPRIV,2006,1,,1,,1,1,1,0,,1,1,1,1,0,0,2,2.183333333,1.166666667,1.25,0,1,3,"1916, 2008, 2016",1,,1,,1,1,,1,,1,,,2,1,2,2,2,2,2,no*,no,recommended,North Coast Ridge Road/Freed,Freed,3,"M.Freed. NCRR. To get to NCRR: Highway 1, into Ventana Inn and Spa, stay right around fountain and stay right when the paved road turns left and there is a dirt road and gate in front of you, slightly on the right. Enter #2567 into the little box. From the gate go 2.3 miles to the parking spot for plot. You will come to a second gate @ 1.5 miles from the first gate. The caretakers for M.Freed should give you directions and a combo on how to get through this gate. Once you have the combination, tell them it would greatly facilitate your work if you could use the gate code for other business you have on the Pine Ridge Trail and the NCRR. They have been really great in the past.  You should be able to park across from the driveway or in Isa's driveway if he is home. be sure to call first.The plot is on the opposite side (E) of the road from where the caretaker's (Isa) place is, driveway is labeled #47952. Walk 95m down the NCRR from the driveway. on your left you will see a huge QUAG (w/a plaque on it, the plaque is not facing the road) on a flatish small rise. Walk out this old fire break 120m east. When walking down the fire break/ridge, plot is on the right.",UCD Trimble,10,613948.52,4010248.52,3.8,yes,866,6.425798416,18.5,149,149,4,1,ridge, Dense old ceanothus thicket in S 1/2 of the plot and all along the plots edge.,Saw pig evidence nearby. Saw a rattlesnake in the plot.,,,,,-,,1,,,,,,none,,,1,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,
253,BS253,BSNCRR,2007,1,,1,,1,1,0,1,,,,0,1,0,0,2,N/A,N/A,N/A,1,2,4,"1916,1977, 2008, 2016",,,,,,,,,,,,,,,,,,,1,,yes,yes,North Coast Ridge Road/ Timber Top,USFS,1,"USFS. NCRR/ Timber Top; Out N. Coast Ridge Road past 3rd gate (4x4 preferred). You will need a FS key to get to the plot because you have to go through 3 gates. The only other way to get through that 3rd gate is to have permission/gate combo from Mary Trotter or another private owner past the 3rd gate. Take Highway 1; into Ventana Inn and Spa, stay right around fountain and stay right when the road turns left and there is a dirt road and gate in front of you. Enter #2567 into the little box. From the gate go 1.5 miles to second gate. There are a variety of ways to get through this gate. There will be a large 3rd gate, as mentioned above. Through 3rd gate, not too far. Before road on right to Timber Top. Walk down grassy area that turns out to be an old fire break. Can see grassy area N of plot on aerial image. Walk down that grassy area to get to forest.",UCD Trimble,10,615257.00,4009132.00,4.4,yes,866,7.567587852,24,42,42,2,5,upper-slope,"Dense, lots of new ARME, deep duff layer. A lot of branch dieback in here as well as Insect damage on ARME. Plot is on edge of grassy clearing to the west. Lots of duff, huge downed trees just outside plot. QUKE seedlings were mainly in beginning of plot not throughout. Lots of TODI.",,1,2007,,,11,,2,,,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,BS254,BSNCRR,2006,1,,1,,1,1,1,1,1,,,1,1,0,0,3,3,3,3,1,2,4,"1916,1977, 2008, 2016",1,,,,,,,,,,,"X, ARME, Ceasp & Pine.",2,2,,,,,1,,yes,yes,North Coast Ridge Road/ Timber Top,USFS,1,"USFS. NCRR/ Timber Top; North Coast Ridge Road, Just past Timber Top. Out NCRR past 3rd gate (4x4 preferred). You will need a FS key to get to the plot because you have to go through 3 gates. The only other way to get through that 3rd gate is to have permission/gate combo from Mary Trotter or another private owner past the 3rd gate. Take Highway 1; into Ventana Inn and Spa, stay right around fountain and stay right when the road turns left and there is a dirt road and gate in front of you. Enter #2567 into the little box. From the gate go 1.5 miles to second gate. There are a variety of ways to get through this gate. There will be a large 3rd gate, as mentioned above. Through 3rd gate See Timber top marked on the topo maps. Large Pines on edge of plot (4 Large pines along Parking Area) Plot is within ceanothus pocket under large emergent Pines. Many ceanothus slumping over but some very tall and upright like trees as well. Walk under a small pine forest to get to the plot. May be old fire road from the NCRR.",UCD Trimble,10,615787.93,4009099.85,2.5,yes,888,5.427372456,27,318,310,2,4,upper-slope,"Plot on NE side of a knowl. Infection level designation was 2, but none here. Dead trees are from the fire and dead ceanothus. We estimated many dbh, azmith and distances for most small ARME. VERY dense in here. The dwd is most likely PIPO.estimated many dbh's, azmith's and distances for most small ARME. MB gps coord: 615793, 4009094","fire in 1977 in fire level 0, grazing a while ago, cow pies looked old here.  Possibly wood rat nets under trees in pine needles would be >5",,,,,neg '09,,1,,,,,,none,,,none,,none,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,BS257,BSNCRR,2006,1,,1,,1,1,0,1,,,,0,1,0,0,2,N/A,N/A,N/A,1,1,3,"1977, 2008, 2016",,,,,,,,,,,,,1,1,,,,,1,,yes,Yes,North Coast Ridge Road/ Cold Springs,USFS,1,"USFS. NCRR/ Cold Springs; Out N. Coast Ridge Road past 3rd gate (4x4 preferred). You will need a FS key to get to the plot because you have to go through 3 gates. The only other way to get through that 3rd gate is to have permission/gate combo from Mary Trotter or another private owner past the 3rd gate. Take Highway 1; into Ventana Inn and Spa, stay right around fountain and stay right when the road turns left and there is a dirt road and gate in front of you. Enter #2567 into the little box. From the gate go 1.5 miles to second gate. There are a variety of ways to get through this gate. There will be a large 3rd gate, as mentioned above. Through 3rd gate out to Cold Springs. Plot is right before 10m marker on upslope side of road.",Bart,10,618709,4008005,8,,1097,8.259970665,20,338,360,1,5, upper-slope,"Short ridgetop vegetation that looks like it burned recently but then large emergent pine overstory. The North cover measurement included a large gap. Due to high high number of ARME saplings between 1cm and 5cm, we lumped them  on the datasheets (az 213-285; distance 5.0-12.6, 58 trees of this size) these were then given their own numbers at the bottom of the other plants in plot (starts at 51) All trees dbhs were averaged at 2.5",Probably burned in MC fire- not sure. Or maybe part of back burn.,,,,,X,,1,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,BS259,BSPRIV,2006,1,1,1,,,1,1,1,1,,,1,1,0,0,2,0.55,0.375,0.375,0,1,2,"1924, 2008",1,,,,,,,,,,,disturbance prone area,,,,,,,2,no*,no,no,Big Sur Valley/ Hartman/Wright driveway up to old E.Woldsen homestead,Wright/ Hartman,3,"Hartman. Behind and just N. of Big Sur Library which is in Ripplewood (gas Station) parking lot. Hartman's house is @ the North end, past the cabins. After checking in w/the Hartman's, go back onto Hwy 1 Northe for <1/4mi, take first dirt road on E. side of highway.  From Hwy 1, turn up road across (E) from Riverside campground. (Called Chadwell Rd due to landowners name) Follow road up and stay left past house/trailor on your right, at first split, veer right (left to Ewoldsen property). Go ~100m and you'll see a road come off to the left. Stay on top, you'll see a house below road, stay on road. Drive or walk to road end and park. Plot is in downhill forest almost bordering road.",UCD Trimble,10,607912,4014165,4,,103,6.11818409,32,150,150,2,4,lower-slope,"Plot was moved from SESE forest ~20m to Qupa dominated forest due to property boundary/fence where SESE trees are. SESE trees now just downslope.Not infection level 0. High infection in area. All alive Qupa have cankers, but still healthy. Dead oaks in plot, not much left and hard to ID- maybe they are not Qupa, but Quag or even Lide that died first. Plot edge, ~ 10 m from fence posts of property boundary and ~60 m from creek. Fair amount of CWD not making 20c. Late in season, difficult to give cover to some plants. Plot is at edge of forest patch near chapparal.","Plot edge is about 60m from neighbors wood shop area, right near property boundary and just at edge of road. Road is not heavily used and dead ends right above plot.",1,2006,1,,11,,2,,,1,,,0,1,,0,,0,0,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,BS260,BSPRIV,2006,2,,0,,,,0,1,,,,0,0,0,0,n/a,N/A,N/A,N/A,0,0,0,none,,,,,,,,,,,,,,,,,,,2,,no,Yes,Big Sur Valley/ Mt Clemille Mutual Water Company,E.Norman,3,"Mt. Clemille Mutial Water Co. Top of Pfeiffer Ridge. Contacted Emile Norman's renter / caretaker Jeff Mallory.Emile died in 2009 so not sure what the status is currently. Road starts off from Post Grade, just south from the BS Ranger station on the west side of the highway.  Go on road behind caretaker/ Mike Trotter's place. Stay to the right, we used the ATV, come down to road junction meeting road to Mt. Clemile. Park here. There is an unused old road bed heading N, NE. Head down before entering into RW drainage.",UCD Trimble,10,607332.19,4013551.79,7,,240,5.86200428,11,45,45,4,4,mid-slope,"Adjusted into a better habitat. Original plot location was predominatly RW and inbetween switch back in a road. Many LIDE in area are dead. Deer droppings in plot, fresh. Reached >101 QUPA seedlings in just over 25% of plot. Big hung up live SESE in the plot (NW part of plot) Still alive part of lg SESE that was split in two. The base id out of the plot but there are good sized live branches coming into the plot that do not make it into the survey. Small little balls of frass on understory. One stem off 3 dwd (QUPA 3.5@25cm) Many plants dead this time of year. TODI  does not have leaves. STBU browsed. Symphorocarpus lost leaves. ","Area historically has been logged more than once. Possible old road,  possible old logging road running directly W to E through edge of plot.",1,2006,,,11,2,2,,,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,BS262,BSPRIV,2006,1,,1,,1,1,0,1,,,,0,1,0,0,1,N/A,N/A,N/A,1,2,4,"1916,1977, 2008, 2016",,,,,,,,,,,,,1,1,,,,,2,,no,Yes,North Coast Ridge Road/ Harrington-Logwood,Harrington/Trotter,3,"Harrington/ Logwood Canyon.  Drive down Harrington rd to homestead/hunters cabin. Park, Walk back up road and then ~20m along old road/trail by the bathtub that goes to the spring. Plot is just above this ~15-20m. ",UCD Trimble,10,615039,4011025,4.9,,542,6.921530724,25,118,118,1,1,mid-slope,"As driving down road to cabin, LOTS of disease/dead Lide but less around this area. However, less Umca and Lide. Much smaller downed woody debris not making 20c. Tons of seedlings! Pretty straightforward to distinguish Qupa here (shiney leaves, longer, no hairs, and less cupped). Late in season so many herbacious dried up.","Plot is near ""spring site"" so possibly some human disturbance . Also close to road into cabin and old road to the spring. Maybe logged for Lide and Sese.",1,2006,,,11,,2,,,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,BS265,BSPRIV,2006,2,,0,,,,0,1,,,,0,0,0,0,n/a,N/A,N/A,N/A,0,0,0,none,,,,,,,,,,,,,,,,,,,2,,no,no,Big Sur Valley/ Clear Ridge/ Segel,Segle,3,"Segel. Clear Ridge Rd, park at entrance to Segel main house. Walk back down road (~S) ~100m and then cut into forest ~50m (~E). Plot center is at SE edge of gap between Qupa forest and Sese",UCD Trimble,10,606275,4012336,4,,200,7.462329865,20,88,88,2,5,upper-slope,"Plot is on edge of a clearing/gap of sorts caused by a patch of QUPA (w/in the SESE) that are mostly dead or unhealthy. Many of the trees have fallen over resulting in a lot of CWD not making 20c.Heavy cover Vaov, resulting in clumping of stems. Trees are pretty stunted as we are almost at ridgeline, right next to coast. Plot is in a slight bowl, maybe (??) the start of a drainage. No disease apparent in plot although many dead oaks. Not obvious why so many are dead. Nearby at Segel main house, many of the trees have been painted with the lime wash. canopy covers are odd due to the large gap at the center. Mossy understory.","Human disturbance, trails leading through the forest and in plot. Evidence of deer usage.",,,,,X,1,1,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,BS267,BSPRIV,2006,2,,0,,,,0,1,,,,0,0,0,0,n/a,N/A,N/A,N/A,0,0,0,none,,,,,,,,,,,,"Long time contact, sold?",,,,,,,2,,no,Yes,Big Sur Valley/ Sycamore Canyon/ Krasnekenewica,Krasnekenewicz,3,"Krasnekenewicz. Sycamore canyon, up private road, through gate, up road to sharp bend; in SESE forest. Park at bend and head up the drainage on right side. Past topped dead SESE. Plot is about 170 degrees from pullout and about 60 m up and across slope. Did not have very good GPS coverage but still should be able to find plot- forest is open.",Bart,10,608200,4011096,2D-9,,160,5.712235928,37,60,345,1,5,lower-slope,One dead Lide seedling in plot. Plot is steep with deep duff. Everything is covered in road dust even though pretty far from road. Little flowing drainage below plot. As you go higher on hillside forest changes to bays and oaks. Gnarled SESE. Larger patch of english ivy in creek bottom.,,1,2006,,,11,2,2,,,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,BS271,BSNCRR,2007,1,,1,,,1,1,1,1,,,1,1,0,0,2,2.53125,2.25,1.875,0,1,2,"1916, 2008",1,,,S,,,,,,,,,,,,,,,1,yes,yes,Yes,North Coast Ridge Road/ Timber Top,USFS,1,"USFS. NCRR/ Timber Top; Highway 1; into Ventana Inn and Spa, stay right around fountain and stay right when the road turns left and there is a dirt road and gate in front of you. Enter #2567 into the little box. From the gate go 1.5 miles to second gate. There are a variety of ways to get through this gate. See Timber top marked on the topo maps. See the horseshoe shaped portion of the NCRR that goes around Timber Top. Before you come to this horseshoe in the road there will be a small dirt road heading toward the ocean. there are not any signs. You can drive out to Timber Top and park @ picnic bench. See a wooden gate down toward to ocean flanked by two large trees. From this wooden gate go 300m down old road/trail that follows the ridge down. after going 300m, go 150m @108 degrees, you should be at the first switch back that heads NE into the canyon. Dont head into the canyon instead go 108 degrees into narrow wooded drainage, see large PIPO. Head down under pine, plot is almost @ bottom of draw.",UCD Trimble,10,615762.00,4008368.00,6.7,yes,863,5.654222488,42,122,201,2,4,upper-slope,"steep, w/loose rocky soil. QUCH have pale sage colored backs. A very old dead downed LIDE just outside plot, but there are dead class A tanoaks very close by,  a bit up the draw. Center of plot is between 2 trees. Hard to tell what is killing things in here.",Not far from grasslands where some what fresh cow pies and a dead horse up by timber top. ,1,2007,,1,11,,2,,,1,,,0,,,1,,1,1,,,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,BS272,BSPR,2006,1,,1,,,1,1,0,,1,1,0,1,0,0,2,N/A,N/A,N/A,0,1,2,"1916, 2008",1,,1,,1,,,1,,1,,,,,,,,,1,yes,yes,yes,DeAngoulo Trail,USFS,1,"USFS. NCRR/ De Angoulo trail; Up to the top of Partington Ridge road. the last property is the Hopkins. They are very helpful and will allow us to drive up there. From Hopkins Homestead out toward De Angoulo trail. As looking uphill follow their driveway to the left. From their property boundary marked by a 2x6 post on the inland side of the trail/road cut, the trail starts (marked with 3 surviving wooden steps down) @180m. Take it down toward the ocean and into meadow. Go 175m on the trail. Before going back into trees head through meadow going south toward ocean. 15M from meadow/ trees edge. Small stand of pines to the N and NW of plot. 12-14' tall ARME at the bottom of the meadow where you need to head down from the trail. If no access via the Hopkins you can access the De Angoulo trail from the NCRR.",Bart,10,616856.00,4007067.00,8,,624,4.910589218,32,257,257,1,2,upper-slope,"Hornets nest in NE part of plot near large ARME. A good amout of down woody debris did not make it into survey. A lot of dead standing trees in this area. Very hot today. Hard to see some upper leaves to check for QUAG or QUPA. Huge fuzzy catepillar in plot, pic's taken. Plot veg designation =veg type 2, but must have been mistaken Pines for SESE. Tags were hung w/wire from sampling bags b/c we ran out of nails down here. there was some difficulty identifying the pines in the plot.",DeAngoulo trail is a historic trail. It has been used for generations.,1,2006,1,,11,,2,,,1,,,0,,,1,,1,1,,,,,,1,,,,,1,,,,1,,,,,,,1,,,,1,,,,,,,,,,
273,BS273,BSPR,2006,1,,1,,,1,1,0,,1,1,0,1,0,0,1,N/A,N/A,N/A,0,1,2,"1916, 2008",1,,1,,1,,,1,,1,,,2,0,1,1,2,2,1,yes,yes,yes,DeAngoulo Trail,USFS,1,"USFS. NCRR/ De Angoulo trail; which starts at Ventana Inn. You need a Forest Service Key. 1/2 way between Cold Springs and Timber Top. Little trail heading down ridge toward Partington. Upper De Angoulo trail. Old fire road running directly up the ridge top. From Meadow above the trail follow little finger of meadow seen in aerial photo down to plot. Down near draw running SE. OR you can go up from Hopkins homestead. Contact the Hopkins who have willingly let us drive up Partington canyon Road to the top where they have thier house. Drive 0.9miles up until pavement ends. go a total of 2.3miles up and see a fork in the road, stay right then stay strait until you see a chain-link gate w/possibly some farm animals to your right. This is the Hopkins driveway. From the homestead, walk up water line/ jeep trail. the 1st running water that crosses the trail, where pipe goes over creek notice a shallow drainage w/ huge RW running uphill. Head 320 NW. Head up creek but stay to the west and south west away from flowing creek (this is a water source for many people below) Follow this drainage up ~250m to where drainage narrows. Plot is on west side of drainage.",Bart,10,617340.00,4007505.00,11,,283,6.320121288,41,77,77,1,2,lower-slope,many plant spp. Are dead/ dying . Hard to ID all plants. Also much hybridization between QUPA and QUAG. Disease looks well established here. Only had 1 nail. Used wire from sample bag to hang tags from. See data sheet for diagram of plot location.,see little map on front of data sheet,1,2006,1,1,11,,2,,,1,,,0,,,1,,none,1,,,,1,,0,,,,,1,,,,0,,,,,,,,,,,1,,,,,,,,,,
274,BS274,BSNCRR,2006,1,1,1,,1,1,1,0,,,1,1,1,0,0,2,2.45,1.875,1.875,0,0,2,"2008, 2016",1,,1,,1,X,,,,,,,2,,1,2,,,1,yes,yes,yes,North Coast Ridge Road/ Cold Springs,USFS,1,"USFS. NCRR/ Cold Springs; Out N. Coast Ridge Road past Cold Springs. You will need a FS key to get to the plot because you have to go through 3 gates. The only other way to get through that 3rd gate is to have permission/gate combo from Mary Trotter or another private owner past the 3rd gate. NCRR; Highway 1; into Ventana Inn and Spa, stay right around fountain and stay right when the road turns left and there is a dirt road and gate in front of you. Enter #2567 into the little box. From the gate go 1.5 miles to second gate. There are a variety of ways to get through this gate. There will be a large 3rd gate, as mentioned above. Continue out >10 miles and reset your tackometer at the turn off to Cold Springs Road on your left. Park on N side of road (2.7 miles from Cold Spring turnoff) Head SE on old dozer cut for 35m, go 140m downslope @215, plot is in LIDE patch on east side of drainage. Plot is before Anderson Peak on W.Side of the road. Down under Ponderosa's.  ",UCD Trimble,10,620802.43,4005843.06,7.0,yes,1153,5.564955235,39,243,198,2,4,upper-slope,,very old fire evidence. Mixed PIPO/Coulter Pine forest.,,,,,-,,1,,,,,,none,,,none,,none,none,,,,,,,,,,,,,,,1,,,,,,,,,,,none,,,,,,,,,,
276,BS276,BSPR,2006,2,,1,,,1,1,0,,,,1,1,0,0,1,2.1875,1.625,1.625,0,0,1,2008,1,,,,,,,,,,1,,2,,,,,2,1,yes,yes,no,Tin House Trail,CA State Parks,2,"Julia Pfeiffer Big Sur State Park; Tinhouse trail. Along HWY1, Park at Whale turnout official marked ""Vista Point"" w/parking lot on west side of highway and turn lane. Shortly after Partington Cove, and take Partington Fire Road to the ""Tinhouse"". Trail starts just south of vista point parking lot on E side of highway. There is a gate across old road/trail. Walk up road past the first section of forest to the start of the contiguous forest; about 1 mile from highway. Go downhill off trail about 60m to larger redwoods which will be on the NE side of plot. A bit downhill from stand of large standing LIDE, (note the large standing LIDE's were there in 2006 and may not be anymore). ",Trimble,10,618151,4004755,5',yes,357,6.143306732,22,9,342,2,4,mid-slope,Plot is between SESE and Lide stand. Gap due to dying Lide. Heavy disease and resulting lots of downed woody debris in plot and getting to plot. Accessing plot is difficult because of this. Will likely become even more difficult to access in future when dead LIDE come down. The 2008 fire really facilitated access to this plot. A lot of downed LIDE's now burned up making an open avenue to access the plot.,Area very disturbed due to high mortality of LIDE and steepness in area.,1,2006,1,,11,2,2,,,1,,,0,1,,0,only 1 sample,none,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,BS277,BSJPB,2007,2,,1,1,,1,1,0,,,,1,1,0,0,0,1.725,0.625,0.5,1,1,3,"1985, 2008",1,,,,,,,,1,,,,,,,,,,1,yes,yes,no,E.Woldsen Trail,CA State Parks,2,"Julia Pfeiffer Burns Sur State Park; Hike the E.Woldsen trail up over 1st 3 bridges (2 substantial, 1 very small), you enter into chapparal oak woodland after leaving redwood habitat. You come to a sharp turn in the trail where there is an unmarked overlook on your left as you are heading up the trail, start counting as you head into redwood forest. Go 50m to large redwoods on left/downhillside of trail. One of those large redwoods is tagged on the downhill side #557, 15.2m @ 132. if that does not work because you can not find the tree, head back toward praking lot 70m from large SESE over the trail (that you have to walk under, and which is 100m before the trail split. It was still there after the 2008 fire). The plot is downslope toward the creek. The extra tree tagged #557 is 80m toward parking lot from leaning SESE or 100m back toward the parking lot before the trail split right before the loop starts. Be careful not to make your trail to the plot from the main trail too obvious. (high traffic area).",UCD Trimble,10,619975.32,4003208.57,6.6,yes,262,16.74200249,44,310,238,2,2,lower-slope,"Steep. Deep duff. Right below the trail. Still looks pretty green in here. Much less mortality in here compared to BS611. Creek is loud and flowing nicely. Don’t trust Bart he was all over the place. FG doing some damage in here not great twig symptoms in here, all suspicious twigs dieback to node and stop. Maybe because it is so dry?","poor gps reception in here, need to bring trimble next time and try again. ",1,2007,1,,11,2,2,,,1,,,0,,1,0,"1 culture p.sp positive, pcr negative, 3 PCR -'s",1,0,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,BS278,BSSLC,2006,2,,1,1,,1,1,0,,1,1,1,1,0,0,1,1.75,1.125,0.625,1,2,4,"1929,1985, 2008",1,1,,1,,,1,,1,,,,,,,,,,2,no*,no,Yes,Santa Lucia Company Property road,Santa Lucia Co.,3,"Santa Lucia Company. Entrance: Santa Lucia Co. road is 4 miles north of Big Creek Reserve. Just north of Burns Creek bridge on the East side of the highway. Need gate combo. Past gate, 4x4 needed, continue on main road to second major creek crossing (creek actually runs across rd). Park here- Dolan Creek. Walk along rd. (N) and cut down into the drainage. Go into drainage near the intersection with the road. The plot is below many large boulders and rock chutes on a steep slope, and it is easier to access from drainage. It is a bit trecherous to get to this plot be careful! (2006 directions that are not totally applicable anymore since the fire: at the first clear area that you come to along the creekside of the road. Use trail goes down at 3 large rocks along road. Exposed pipes.) Stay on N side of creek. There is a big cliff upstream of plot that you need to stay on top of. Plot is below a washout on the road that is reinforced but may look different next year after the fire and rains alter things. GPS taken on road is 624842 and 3997061 and plot ~40m down from here. GPS at plot center is estimated based on distance and direction from road coordinates. From '09:We approached by going directly above the plot to the north, on the road and dropping down one at a time. It was steep rocky and loose but better than approaching along the creek.",UCD Trimble,10,624836,3997025,2.8,,384,7.09153223,41,145,232,2,6,mid-slope,"Very steep and rocky plot. Careful! very loose rocks in plot. GPS coordinate was taken on road. From here plot is at 165 degrees and 40m.. Minimal disease in area. Maybe just getting started. See infection higher up on slope to the south. Rock outcrops in plot and around. UMCA near plot look clean. Very scary getting down to this plot after the fire, be very careful!!",Close to road- disturbed. Use trails in area lead down to swimming holes below.,1,2006,1,1,11,2,2,2,2,1,,,0,,,1,,1,1,0,,,1,,0,,,,,,,,,,1,,,,0,4,,,,,,,,,,,,,,,
